session_id,org,project,title,elements,with_props,pct_props,keys,pct_named_task,pct_named_gate,pct_named_evt,id_gen,id_sem,edited,xml_kb
7e00ebc150,org_default,,Добавить ингредиент,9,3,33.3,ingredient:3;equipment:2;ingredient_um:1;ingredient_value:1;container_tara:1,100.0,,0.0,9,0,False,4.8
dcf62aba82,org_default,,measure session 1,974,439,45.1,ingredient:184;container_tara:183;equipment:130;ingredient_value:91;container_tara_value:68;ingredient_um:62,97.5,74.1,22.8,973,1,True,768.4
8369840fea,org_default,31c4aec70b,Налить ингредиент,28,15,53.6,ingredient_value:8;ingredient_um:8;ingredient:4;equipment:3;container_tara_value:3;ingredient_base:2,100.0,60.0,0.0,28,0,True,15.9
1e078c71a0,org_default,31c4aec70b,measure session 2,974,439,45.1,ingredient:184;container_tara:183;equipment:130;ingredient_value:91;container_tara_value:68;ingredient_um:62,97.5,74.1,22.8,973,1,True,774.8
b608a00d1d,org_default,4204e4701b,Добавить ингредиент,9,3,33.3,ingredient:3;ee_time:3;ee_operation:3;container_tara:2;ingredient_value:1;ingredient_um:1,100.0,,0.0,9,0,True,5.0
497f4ab7d9,org_default,4204e4701b,diag,137,45,32.8,ee_time:31;ee_operation:30;container_tara:12;ingredient:12;tara:11;equipment:10,60.4,100.0,20.0,136,1,True,70.9
adc84cc764,org_default,445ebd4841,E2E save session 1789160545966_5gjet4,262,0,0.0,,100.0,100.0,100.0,150,112,True,69.5
f3948ed8dd,org_default,45b465c05f,E2E save session 1789160570615_4t4jy2,262,0,0.0,,100.0,100.0,100.0,150,112,True,69.5
162adb73f8,org_default,5d08a80d18,overlay-desync-fixture,5,1,20.0,ee_operation:1;ee_time:1;equipment:1,100.0,,0.0,2,3,True,2.2
bc59b66816,org_default,94afe6fc3c,E2E save session 1789098470778_9s5afn,261,0,0.0,,100.0,100.0,100.0,149,112,True,69.1
e1925a5b74,org_default,9db6144ae2,E2E save session 1789100252625_yku4h4,261,0,0.0,,100.0,100.0,100.0,149,112,True,69.1
53006f5546,org_default,b1c8a56b6e,123,160,50,31.2,ee_time:36;ee_operation:35;container_tara:14;tara:14;ingredient:12;equipment:11,56.9,100.0,20.0,159,1,True,79.2
ca36d5cb15,org_default,b1c8a56b6e,вывыв,97,45,46.4,ee_time:31;ee_operation:30;ingredient:12;container_tara:12;tara:11;equipment:10,97.0,100.0,20.0,96,1,True,58.0
d138c5a9ae,org_default,c2afdb98c2,Добавить ингредиент,9,3,33.3,ingredient:3;equipment:2;ingredient_um:1;ingredient_value:1;container_tara:1,100.0,,0.0,9,0,True,4.8
25c158aace,org_default,c2afdb98c2,Меренга_пирожное_ШУ - клон для замеров,974,439,45.1,ingredient:184;container_tara:183;equipment:130;ingredient_value:91;container_tara_value:68;ingredient_um:62,97.5,74.1,22.8,973,1,True,774.0
6a31dbe457,org_default,d2b90bcbed,prop-speed,137,45,32.8,ee_time:31;ee_operation:30;container_tara:12;ingredient:12;tara:11;equipment:10,60.4,100.0,20.0,136,1,True,70.9
6f24f8170f,org_default,d2b90bcbed,Переместить в емкость,9,3,33.3,ingredient:3;ee_time:3;ee_operation:3;container_tara:2;ingredient_value:1;ingredient_um:1,100.0,,0.0,9,0,True,4.7
707564e262,org_default,d92925aa2f,Target Session,14,1,7.1,container_condition:1,100.0,100.0,100.0,4,10,True,6.3
